"","search","lat","lon","location_type","formatted","mkt"
"1","grocery misuku,Malawi",-9.6803,33.5236,"GEOMETRIC_CENTER","Malawi","MISUKU"
"2","grocery nthalire,Malawi",-10.3496794,33.6371591,"APPROXIMATE","Nythalire, Malawi","NTHALIRE"
"3","grocery chitipa,Malawi",-9.7031247,33.2733419,"GEOMETRIC_CENTER","M9, Chitipa, Malawi","CHITIPA"
"4","grocery karonga,Malawi",-9.9403225,33.9262034,"GEOMETRIC_CENTER","Karonga, Malawi","KARONGA"
"5","grocery chilumba,Malawi",-10.4363667,34.2449384,"APPROXIMATE","Chilumba, Malawi","CHILUMBA"
"6","grocery rumphi,Malawi",-11.0219958,33.8556345,"GEOMETRIC_CENTER","Rhumpi, Malawi","RUMPHI"
"7","grocery hewe,Malawi",-11.19237,33.46928,NA,NA,"HEWE"
"8","grocery mzuzu,Malawi",-11.4621054,34.0145848,"GEOMETRIC_CENTER","Main Road, Mzuzu, Malawi","MZUZU"
"9","grocery mzimba,Malawi",-11.9002372,33.594012,"GEOMETRIC_CENTER","M9, Mzimba, Malawi","MZIMBA"
"10","grocery embangweni,Malawi",-12.166667,33.46667,NA,NA,"EMBANGWENI"
"11","grocery jenda,Malawi",-12.3616171,33.5560069,"APPROXIMATE","Jenda, Malawi","JENDA"
"12","grocery mpamba,Malawi",NA,NA,NA,NA,"MPAMBA"
"13","grocery nkhatabay,Malawi",-11.6087047,34.2981711,"GEOMETRIC_CENTER","Nkhata Bay, Malawi","NKHATABAY"
"14","grocery chintheche,Malawi",-11.6087047,34.2981711,"GEOMETRIC_CENTER","Nkhata Bay, Malawi","CHINTHECHE"
"15","grocery dwangwa,Malawi",-12.51761,34.1302442,"GEOMETRIC_CENTER","Dwanga Airport (DWA), Malawi","DWANGWA"
"16","grocery nkhotakota,Malawi",-12.9316863,34.2810541,"APPROXIMATE","Nkhotakota, Malawi","NKHOTAKOTA"
"17","grocery mwansambo,Malawi",NA,NA,NA,NA,"MWANSAMBO"
"18","grocery salima,Malawi",-13.7830617,34.4555223,"GEOMETRIC_CENTER","S122, Salima, Malawi","SALIMA"
"19","grocery dowa,Malawi",-13.7710767,33.8144558,"GEOMETRIC_CENTER","Area 53, Lumbadzi, Malawi","DOWA"
"20","grocery ntchisi,Malawi",-13.352065,33.920564,"GEOMETRIC_CENTER","Malawi","NTCHISI"
"21","grocery malomo,Malawi",-13.352065,33.920564,"GEOMETRIC_CENTER","Malawi","MALOMO"
"22","grocery mponela,Malawi",-13.5319974,33.7350084,"APPROXIMATE","Mponela, Malawi","MPONELA"
