"FNID_OLD","CS201007"
"MW2012C3010102",1
"MW2012C3010309",1
"MW2012C3010417",1
"MW2012C3020103",1
"MW2012C3020211",1
"MW2012C3020403",1
"MW2012C3020803",1
"MW2012C3020913",1
"MW2012C3030206",1
"MW2012C3030404",1
"MW2012C3030414",1
"MW2012C3030613",2
"MW2012C3030804",2
"MW2012C3010107",1
"MW2012C3010201",99
"MW2012C3010209",1
"MW2012C3010311",1
"MW2012C3010503",1
"MW2012C3010611",99
"MW2012C3020203",1
"MW2012C3020213",1
"MW2012C3020303",99
"MW2012C3020513",1
"MW2012C3020515",1
"MW2012C3020703",99
"MW2012C3020915",1
"MW2012C3030112",99
"MW2012C3030114",1
"MW2012C3030204",1
"MW2012C3030214",99
"MW2012C3030304",1
"MW2012C3030306",1
"MW2012C3030314",1
"MW2012C3030506",2
"MW2012C3030514",2
"MW2012C3030606",2
"MW2012C3030716",1
"MW2012C3031005",99
"MW2012C3031105",99
NA,88
