"FNID","CS200907"
"MW2016C3000020",88
"MW2016C3010102",1
"MW2016C3010107",1
"MW2016C3010119",99
"MW2016C3010201",1
"MW2016C3010209",1
"MW2016C3010210",1
"MW2016C3010219",99
"MW2016C3010309",1
"MW2016C3010311",1
"MW2016C3010319",99
"MW2016C3010409",1
"MW2016C3010411",1
"MW2016C3010417",1
"MW2016C3010419",99
"MW2016C3010503",1
"MW2016C3010508",1
"MW2016C3010509",1
"MW2016C3010517",1
"MW2016C3010519",99
"MW2016C3010611",99
"MW2016C3020103",1
"MW2016C3020119",99
"MW2016C3020209",1
"MW2016C3020211",1
"MW2016C3020213",1
"MW2016C3020219",99
"MW2016C3020303",1
"MW2016C3020319",99
"MW2016C3020403",1
"MW2016C3020419",99
"MW2016C3020513",1
"MW2016C3020515",1
"MW2016C3020603",1
"MW2016C3020619",1
"MW2016C3020703",1
"MW2016C3020719",99
"MW2016C3020803",1
"MW2016C3020813",1
"MW2016C3020815",1
"MW2016C3020818",1
"MW2016C3020819",99
"MW2016C3020913",1
"MW2016C3020918",1
"MW2016C3020919",99
"MW2016C3030112",1
"MW2016C3030114",1
"MW2016C3030115",1
"MW2016C3030119",99
"MW2016C3030204",1
"MW2016C3030206",1
"MW2016C3030214",1
"MW2016C3030219",99
"MW2016C3030304",1
"MW2016C3030306",1
"MW2016C3030314",1
"MW2016C3030319",99
"MW2016C3030404",1
"MW2016C3030414",1
"MW2016C3030419",99
"MW2016C3030506",1
"MW2016C3030514",1
"MW2016C3030519",1
"MW2016C3030606",1
"MW2016C3030613",1
"MW2016C3030618",1
"MW2016C3030619",99
"MW2016C3030714",1
"MW2016C3030716",1
"MW2016C3030719",99
"MW2016C3030804",1
"MW2016C3030816",1
"MW2016C3030819",99
"MW2016C3030904",1
"MW2016C3031005",1
"MW2016C3031019",99
"MW2016C3031105",1
"MW2016C3031119",99
"MW2016C3031206",1
"MW2016C3031219",99
"MW2016C3031306",1
"MW2016C3031313",1
"MW2016C3031318",1
