Price Type,Country,Market,Commodity,Local currency (originally collected),Local measurement unit (originally collected),Date,Value (local currency per kg),"Value (real price, local currency per kg)",Value (USD per kg),Value ( local currency per local measurement unit)
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,1/1/2007,25.00,31.10,0.17,25.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,2/1/2007,22.42,27.06,0.16,22.42
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,3/1/2007,21.17,25.69,0.15,21.17
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,4/1/2007,19.00,23.55,0.13,19.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,5/1/2007,18.50,23.46,0.13,18.50
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,6/1/2007,18.25,24.00,0.12,18.25
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,7/1/2007,20.64,27.43,0.14,20.64
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,8/1/2007,20.00,27.21,0.14,20.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,9/1/2007,21.00,27.12,0.15,21.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,10/1/2007,22.00,28.21,0.15,22.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,11/1/2007,24.50,30.53,0.17,24.50
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,12/1/2007,30.00,36.44,0.21,30.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,1/1/2008,30.00,34.64,0.21,30.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,2/1/2008,40.00,44.72,0.28,40.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,3/1/2008,60.00,67.30,0.42,60.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,4/1/2008,44.74,51.30,0.31,44.74
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,5/1/2008,35.00,41.12,0.24,35.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,6/1/2008,37.50,45.46,0.26,37.50
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,7/1/2008,56.00,68.40,0.39,56.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,8/1/2008,58.66,73.17,0.41,58.66
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,9/1/2008,56.00,66.15,0.39,56.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,10/1/2008,55.81,65.40,0.39,55.81
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,11/1/2008,58.00,65.94,0.41,58.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,12/1/2008,52.00,57.45,0.36,52.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,1/1/2009,72.00,75.55,0.51,72.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,2/1/2009,72.00,73.41,0.51,72.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,3/1/2009,67.61,69.25,0.48,67.61
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,4/1/2009,51.25,53.81,0.36,51.25
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,5/1/2009,40.00,43.23,0.28,40.00
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,6/1/2009,39.93,44.64,0.28,39.93
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,7/1/2009,40.74,46.06,0.28,40.74
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,8/1/2009,42.38,49.03,0.30,42.38
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,9/1/2009,43.77,48.10,0.31,43.77
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,10/1/2009,43.52,47.54,0.30,43.52
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,11/1/2009,43.97,46.65,0.30,43.97
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,12/1/2009,44.02,45.21,0.30,44.02
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,1/1/2010,44.06,42.88,0.29,44.06
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,2/1/2010,44.27,41.72,0.29,44.27
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,3/1/2010,39.95,37.77,0.26,39.95
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,4/1/2010,35.63,34.61,0.23,35.63
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,5/1/2010,31.31,31.39,0.20,31.31
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,6/1/2010,31.52,32.76,0.20,31.52
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,7/1/2010,31.78,33.48,0.21,31.78
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,8/1/2010,32.04,34.58,0.21,32.04
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,9/1/2010,31.64,32.50,0.20,31.64
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,10/1/2010,32.04,32.80,0.21,32.04
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,11/1/2010,31.95,31.86,0.21,31.95
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,12/1/2010,31.85,30.77,0.21,31.85
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,1/1/2011,,,,
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,2/1/2011,,,,
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,3/1/2011,,,,
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,4/1/2011,,,,
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,5/1/2011,,,,
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,6/1/2011,,,,
Retail,Malawi,Lilongwe,Maize,Kwacha,Kg,7/1/2011,,,,
