"model","accuracy","type1","type2"
"logFCS_clust_m1",0.866995073891626,0.0541871921182266,0.0788177339901478
"logFCS_clust_m2",0.896551724137931,0.0738916256157636,0.0295566502463054
"logFCS_clust_m3",0.758620689655172,0.226600985221675,0.0147783251231527
"logFCS_lhz_m1",0.847290640394089,0.0640394088669951,0.0886699507389163
"logFCS_lhz_m2",0.87192118226601,0.0640394088669951,0.0640394088669951
"logFCS_lhz_m3",0.640394088669951,0.344827586206897,0.0147783251231527
"logFCS_TA_m1",0.857142857142857,0.0640394088669951,0.0788177339901478
"logFCS_TA_m2",0.911330049261084,0.0197044334975369,0.0689655172413793
"logFCS_TA_m3",0.822660098522167,0.142857142857143,0.0344827586206897
"HDDS_clust_m1",0.763546798029557,0.236453201970443,0
"HDDS_clust_m2",0.876847290640394,0.113300492610837,0.00985221674876847
"HDDS_clust_m3",0.881773399014778,0.113300492610837,0.00492610837438424
"HDDS_lhz_m1",0.763546798029557,0.236453201970443,0
"HDDS_lhz_m2",0.778325123152709,0.167487684729064,0.0541871921182266
"HDDS_lhz_m3",0.802955665024631,0.157635467980296,0.0394088669950739
"HDDS_TA_m1",0.763546798029557,0.236453201970443,0
"HDDS_TA_m2",0.857142857142857,0.108374384236453,0.0344827586206897
"HDDS_TA_m3",0.857142857142857,0.12807881773399,0.0147783251231527
"rCSI_clust_m1",0.54679802955665,0.285714285714286,0.167487684729064
"rCSI_clust_m2",0.600985221674877,0.270935960591133,0.12807881773399
"rCSI_clust_m3",0.650246305418719,0.285714285714286,0.0640394088669951
"rCSI_lhz_m1",0.527093596059113,0.266009852216749,0.206896551724138
"rCSI_lhz_m2",0.507389162561576,0.192118226600985,0.300492610837438
"rCSI_lhz_m3",0.551724137931034,0.0541871921182266,0.394088669950739
"rCSI_TA_m1",0.551724137931034,0.216748768472906,0.231527093596059
"rCSI_TA_m2",0.541871921182266,0.192118226600985,0.266009852216749
"rCSI_TA_m3",0.561576354679803,0.221674876847291,0.216748768472906
